Product_ID,Product_Name,Main_Category,Sub_Category,Price_INR,Color,Fabric,Units_Sold_30_Days,Revenue_30_Days,Stock_Status,Customer_Rating,Num_Reviews,Performance_Tier,Date_Added,Price_Band
TSI0028,Table Cloths Yellow,Dining,Table Cloths,1584.82,Aqua,100% Cotton,17,26941.92,Low Stock,4.53,4,Average,2024-02-07,Economy (₹1-2K)
TSI0029,Mats & Napkins Red,Dining,Mats & Napkins,607.83,Aqua,Chanderi Silk,31,18842.63,In Stock,3.54,3,Average,2024-11-16,Budget (<₹1K)
TSI0030,Table Cloths Natural,Dining,Table Cloths,2066.73,Aqua,Cotton Textured,14,28934.22,In Stock,4.59,1,Average,2024-04-18,Mid-Range (₹2-3K)
TSI0031,Table Cloths Green,Dining,Table Cloths,3408.61,Navy,Cotton Cambric,169,576055.19,In Stock,4.55,19,Bestseller,2025-09-29,Premium (₹3-5K)
TSI0032,Table Cloths Green,Dining,Table Cloths,6196.23,Blue,Wool,41,254045.43,In Stock,4.43,9,Average,2024-03-01,Luxury (>₹5K)
TSI0033,Mats & Napkins Indigo,Dining,Mats & Napkins,1807.02,Green,Cotton Voile,193,348754.61,In Stock,4.3,32,Bestseller,2025-11-01,Economy (₹1-2K)
TSI0034,Table Runners Yellow,Dining,Table Runners,3438.53,Navy,Chanderi Silk,134,460763.23,In Stock,4.34,25,Bestseller,2025-10-26,Premium (₹3-5K)
TSI0035,Table Runners Black,Dining,Table Runners,3121.32,Blue,Cotton Sheeting,14,43698.51,Low Stock,4.3,4,Average,2024-04-10,Premium (₹3-5K)
TSI0036,Kitchen Linen Emerald,Dining,Kitchen Linen,1664.51,Indigo,100% Cotton,46,76567.45,Low Stock,4.57,10,Average,2025-05-26,Economy (₹1-2K)
TSI0037,Mats & Napkins Cream,Dining,Mats & Napkins,2354.76,Yellow,Cotton Sheeting,38,89480.94,Out of Stock,3.53,9,Average,2024-09-20,Mid-Range (₹2-3K)
TSI0038,Table Runners Pink,Dining,Table Runners,2386.83,White,Cotton Voile,30,71604.86,Out of Stock,4.21,5,Average,2025-10-27,Mid-Range (₹2-3K)
TSI0039,Kitchen Linen Multi,Dining,Kitchen Linen,883.07,Yellow,Silk,32,28258.21,Out of Stock,4.62,5,Average,2025-05-06,Budget (<₹1K)
TSI0040,Table Cloths Indigo,Dining,Table Cloths,2015.76,Cream,Wool,28,56441.2,In Stock,3.51,7,Average,2024-02-16,Mid-Range (₹2-3K)
TSI0041,Mats & Napkins Beige,Dining,Mats & Napkins,3351.82,Green,Wool,14,46925.5,In Stock,3.93,3,Average,2025-09-12,Premium (₹3-5K)
TSI0042,Table Cloths Aqua,Dining,Table Cloths,840.39,Indigo,Silk,5,4201.97,Low Stock,4.21,1,Slow,2025-11-21,Budget (<₹1K)
TSI0043,Table Runners Black,Dining,Table Runners,2354.65,Green,Cotton Cambric,190,447384.3,In Stock,4.52,52,Bestseller,2024-12-08,Mid-Range (₹2-3K)
TSI0044,Mats & Napkins Red,Dining,Mats & Napkins,2243.92,Indigo,Cotton Textured,1,2243.92,Out of Stock,4.78,1,Slow,2024-11-15,Mid-Range (₹2-3K)
TSI0045,Kitchen Linen Natural,Dining,Kitchen Linen,2175.21,Navy,Cotton Sheeting,7,15226.49,In Stock,3.83,1,Slow,2024-10-15,Mid-Range (₹2-3K)
TSI0046,Kitchen Linen Cream,Dining,Kitchen Linen,852.58,Pink,Cotton Voile,22,18756.73,In Stock,4.02,4,Average,2025-10-09,Budget (<₹1K)
TSI0047,Table Runners Beige,Dining,Table Runners,2906.33,White,Cotton Textured,30,87189.83,In Stock,4.7,8,Average,2024-08-20,Mid-Range (₹2-3K)
TSI0048,Table Cloths Yellow,Dining,Table Cloths,2069.29,Cream,Cotton Canvas,40,82771.74,Out of Stock,4.41,7,Average,2025-02-10,Mid-Range (₹2-3K)
TSI0049,Kitchen Linen Indigo,Dining,Kitchen Linen,820.27,Green,Silk,45,36912.07,In Stock,3.96,9,Average,2024-03-01,Budget (<₹1K)
TSI0050,Mats & Napkins White,Dining,Mats & Napkins,2594.49,Multi,Chanderi Silk,29,75240.07,Low Stock,3.85,3,Average,2024-06-19,Mid-Range (₹2-3K)
TSI0051,Mats & Napkins Blue,Dining,Mats & Napkins,2677.16,Red,Cotton Voile,39,104409.18,Out of Stock,3.56,4,Average,2025-09-10,Mid-Range (₹2-3K)
TSI0052,Kitchen Linen Black,Dining,Kitchen Linen,3455.86,Cream,Cotton Textured,34,117499.18,Out of Stock,4.59,9,Average,2024-09-10,Premium (₹3-5K)
TSI0053,Table Cloths Green,Dining,Table Cloths,1185.75,Navy,Cotton Textured,14,16600.53,Out of Stock,4.22,3,Average,2025-09-11,Economy (₹1-2K)
TSI0054,Table Cloths Indigo,Dining,Table Cloths,1851.63,Aqua,Cotton Canvas,4,7406.53,In Stock,4.37,1,Slow,2024-08-01,Economy (₹1-2K)
TSI0055,Table Runners Natural,Dining,Table Runners,1994.5,Emerald,Silk,2,3988.99,Out of Stock,4.22,1,Slow,2024-12-29,Economy (₹1-2K)
TSI0056,Kitchen Linen Black,Dining,Kitchen Linen,1940.14,Red,100% Cotton,2,3880.28,Out of Stock,4.67,1,Slow,2025-10-28,Economy (₹1-2K)
TSI0057,Table Runners Natural,Dining,Table Runners,1676.73,Yellow,Cotton Textured,4,6706.93,In Stock,4.09,1,Slow,2025-11-14,Economy (₹1-2K)
TSI0058,Table Cloths Green,Dining,Table Cloths,2889.42,Black,Cotton Textured,1,2889.42,In Stock,4.1,1,Slow,2025-10-15,Mid-Range (₹2-3K)
TSI0059,Table Cloths White,Dining,Table Cloths,1880.36,White,100% Cotton,25,47008.94,Low Stock,3.74,4,Average,2025-12-04,Economy (₹1-2K)
TSI0060,Table Runners Navy,Dining,Table Runners,1171.55,Natural,100% Cotton,31,36317.96,In Stock,3.66,5,Average,2025-11-17,Economy (₹1-2K)
TSI0061,Table Runners Beige,Dining,Table Runners,5912.21,Blue,Cotton Canvas,39,230576.13,In Stock,3.99,3,Average,2024-05-19,Luxury (>₹5K)
TSI0062,Mats & Napkins Black,Dining,Mats & Napkins,1053.56,Multi,Cotton Canvas,31,32660.45,In Stock,4.49,6,Average,2026-01-27,Economy (₹1-2K)
TSI0063,Mats & Napkins Cream,Dining,Mats & Napkins,3185.62,Yellow,Cotton Cambric,27,86011.75,In Stock,4.19,4,Average,2026-01-06,Premium (₹3-5K)
TSI0064,Table Runners Beige,Dining,Table Runners,2191.9,Navy,Cotton Textured,175,383581.67,In Stock,4.91,38,Bestseller,2025-06-15,Mid-Range (₹2-3K)
TSI0065,Table Cloths Green,Dining,Table Cloths,1938.75,Red,Cotton Sheeting,17,32958.69,In Stock,4.23,2,Average,2025-04-27,Economy (₹1-2K)
TSI0066,Kitchen Linen Red,Dining,Kitchen Linen,2212.33,Yellow,Cotton Sheeting,5,11061.67,Out of Stock,3.51,1,Slow,2025-02-18,Mid-Range (₹2-3K)
TSI0067,Mats & Napkins Beige,Dining,Mats & Napkins,763.66,Pink,Chanderi Silk,186,142041.29,In Stock,4.62,33,Bestseller,2025-03-18,Budget (<₹1K)
TSI0068,Kitchen Linen Black,Dining,Kitchen Linen,3408.41,Aqua,Cotton Canvas,1,3408.41,In Stock,4.44,1,Slow,2026-01-08,Premium (₹3-5K)
TSI0069,Mats & Napkins Aqua,Dining,Mats & Napkins,3015.75,Blue,Chanderi Silk,4,12062.99,In Stock,4.16,1,Slow,2025-09-17,Premium (₹3-5K)
TSI0070,Mats & Napkins Pink,Dining,Mats & Napkins,1943.42,Black,Cotton Sheeting,59,114661.8,In Stock,4.64,8,Bestseller,2025-03-19,Economy (₹1-2K)
TSI0071,Mats & Napkins Green,Dining,Mats & Napkins,2544.51,Natural,100% Cotton,33,83968.77,Low Stock,4.53,4,Average,2025-03-06,Mid-Range (₹2-3K)
TSI0072,Table Cloths Multi,Dining,Table Cloths,2692.6,Pink,Silk,44,118474.51,Out of Stock,4.44,4,Average,2025-06-19,Mid-Range (₹2-3K)
TSI0073,Table Runners Multi,Dining,Table Runners,2898.61,Navy,Silk,28,81161.12,Low Stock,4.18,4,Average,2024-12-28,Mid-Range (₹2-3K)
TSI0074,Kitchen Linen Blue,Dining,Kitchen Linen,1855.85,Blue,Wool,6,11135.07,In Stock,4.07,1,Slow,2024-05-28,Economy (₹1-2K)
TSI0075,Kitchen Linen Aqua,Dining,Kitchen Linen,2372.71,Multi,Cotton Voile,7,16609.0,Low Stock,4.4,1,Slow,2024-10-13,Mid-Range (₹2-3K)
TSI0076,Mats & Napkins Black,Dining,Mats & Napkins,2219.45,Navy,Cotton Cambric,5,11097.26,Low Stock,3.69,1,Slow,2024-05-09,Mid-Range (₹2-3K)
TSI0077,Table Runners Green,Dining,Table Runners,1526.25,Multi,Cotton Sheeting,158,241146.75,In Stock,4.52,40,Bestseller,2024-03-20,Economy (₹1-2K)
TSI0078,Table Runners Navy,Dining,Table Runners,536.61,Pink,Chanderi Silk,35,18781.32,In Stock,3.95,4,Average,2025-09-22,Budget (<₹1K)
TSI0079,Kitchen Linen Aqua,Dining,Kitchen Linen,1770.79,Pink,Cotton Sheeting,35,61977.67,In Stock,4.16,7,Average,2025-03-16,Economy (₹1-2K)
TSI0080,Table Cloths Natural,Dining,Table Cloths,3267.5,Pink,Silk,37,120897.43,In Stock,3.59,4,Average,2024-02-08,Premium (₹3-5K)
TSI0081,Mats & Napkins Yellow,Dining,Mats & Napkins,1852.52,White,Cotton Canvas,4,7410.07,In Stock,4.7,1,Slow,2024-04-13,Economy (₹1-2K)
TSI0082,Mats & Napkins Navy,Dining,Mats & Napkins,664.28,Emerald,Chanderi Silk,5,3321.42,Low Stock,3.65,1,Slow,2025-01-13,Budget (<₹1K)
TSI0083,Mats & Napkins Blue,Dining,Mats & Napkins,1540.86,Blue,Chanderi Silk,33,50848.37,In Stock,3.72,3,Average,2024-04-08,Economy (₹1-2K)
TSI0084,Kitchen Linen Multi,Dining,Kitchen Linen,1138.04,Pink,Cotton Voile,9,10242.38,In Stock,4.04,1,Slow,2025-03-13,Economy (₹1-2K)
TSI0085,Table Cloths Multi,Dining,Table Cloths,1429.81,Natural,Cotton Canvas,28,40034.7,In Stock,4.11,6,Average,2026-01-15,Economy (₹1-2K)
TSI0086,Table Runners Beige,Dining,Table Runners,1382.13,Blue,Cotton Canvas,37,51138.96,In Stock,4.15,9,Average,2025-12-10,Economy (₹1-2K)
TSI0087,Mats & Napkins Black,Dining,Mats & Napkins,2759.74,Yellow,Cotton Canvas,2,5519.48,In Stock,3.53,1,Slow,2025-03-27,Mid-Range (₹2-3K)
TSI0088,Mats & Napkins Blue,Dining,Mats & Napkins,1261.67,Indigo,Cotton Canvas,17,21448.32,In Stock,4.54,2,Average,2024-12-12,Economy (₹1-2K)
TSI0089,Mats & Napkins Yellow,Dining,Mats & Napkins,1229.52,Black,Wool,4,4918.07,Out of Stock,3.68,1,Slow,2025-03-10,Economy (₹1-2K)
TSI0090,Mats & Napkins Aqua,Dining,Mats & Napkins,2707.71,Green,Cotton Sheeting,196,530711.91,In Stock,4.54,54,Bestseller,2024-08-29,Mid-Range (₹2-3K)
TSI0091,Table Runners Black,Dining,Table Runners,2975.32,Green,Cotton Textured,69,205297.22,In Stock,4.53,14,Bestseller,2024-09-21,Mid-Range (₹2-3K)
TSI0092,Table Runners Black,Dining,Table Runners,2790.82,White,Cotton Voile,8,22326.54,Out of Stock,4.11,1,Slow,2024-08-26,Mid-Range (₹2-3K)
TSI0093,Table Cloths Multi,Dining,Table Cloths,2124.9,Black,Wool,31,65871.98,Out of Stock,4.78,6,Average,2025-11-20,Mid-Range (₹2-3K)
TSI0094,Table Runners Indigo,Dining,Table Runners,3242.9,Yellow,Cotton Cambric,47,152416.13,In Stock,4.03,9,Average,2025-02-26,Premium (₹3-5K)
TSI0095,Table Cloths Multi,Dining,Table Cloths,1291.05,Blue,Cotton Cambric,43,55515.21,Low Stock,4.36,5,Average,2024-10-15,Economy (₹1-2K)
TSI0096,Table Runners Emerald,Dining,Table Runners,3427.13,Beige,Cotton Voile,45,154221.01,Low Stock,3.59,12,Average,2025-07-31,Premium (₹3-5K)
TSI0097,Mats & Napkins Beige,Dining,Mats & Napkins,2331.21,Aqua,Cotton Sheeting,33,76930.06,Out of Stock,4.45,4,Average,2024-10-24,Mid-Range (₹2-3K)
TSI0098,Mats & Napkins Pink,Dining,Mats & Napkins,3024.59,Blue,Cotton Voile,2,6049.18,Low Stock,4.12,1,Slow,2025-07-01,Premium (₹3-5K)
TSI0099,Table Cloths Red,Dining,Table Cloths,2565.21,Black,Cotton Textured,12,30782.49,In Stock,3.5,3,Average,2024-05-31,Mid-Range (₹2-3K)
TSI0100,Kitchen Linen Pink,Dining,Kitchen Linen,2922.29,White,Cotton Canvas,9,26300.62,In Stock,3.74,1,Slow,2024-04-13,Mid-Range (₹2-3K)
TSI0101,Table Cloths Cream,Dining,Table Cloths,2476.35,Multi,Wool,9,22287.15,Out of Stock,4.34,2,Slow,2024-12-29,Mid-Range (₹2-3K)
TSI0102,Mats & Napkins Black,Dining,Mats & Napkins,2167.42,Emerald,Wool,24,52018.07,Low Stock,3.89,6,Average,2024-10-14,Mid-Range (₹2-3K)
TSI0103,Table Runners Indigo,Dining,Table Runners,5347.7,Multi,100% Cotton,48,256689.44,In Stock,4.28,7,Average,2025-09-25,Luxury (>₹5K)
TSI0104,Table Cloths Cream,Dining,Table Cloths,2090.8,Multi,100% Cotton,48,100358.18,In Stock,4.2,12,Average,2025-08-26,Mid-Range (₹2-3K)
TSI0105,Kitchen Linen Multi,Dining,Kitchen Linen,1780.45,Black,Cotton Textured,44,78339.85,Out of Stock,3.53,12,Average,2025-12-26,Economy (₹1-2K)
TSI0106,Table Runners Cream,Dining,Table Runners,1552.14,Aqua,Wool,25,38803.39,Out of Stock,4.78,6,Average,2025-02-28,Economy (₹1-2K)
TSI0107,Table Cloths Green,Dining,Table Cloths,5305.47,Natural,Silk,13,68971.16,Low Stock,4.27,2,Average,2024-12-31,Luxury (>₹5K)
TSI0108,Table Cloths Pink,Dining,Table Cloths,1674.89,Aqua,Cotton Canvas,5,8374.45,Low Stock,3.62,1,Slow,2026-01-23,Economy (₹1-2K)
TSI0109,Table Runners Multi,Dining,Table Runners,2340.23,Natural,100% Cotton,8,18721.87,Out of Stock,4.34,1,Slow,2025-06-30,Mid-Range (₹2-3K)
TSI0110,Table Cloths Beige,Dining,Table Cloths,1059.31,Navy,Cotton Voile,14,14830.41,Low Stock,3.78,2,Average,2024-07-10,Economy (₹1-2K)
TSI0111,Mats & Napkins Multi,Dining,Mats & Napkins,1688.73,Aqua,Silk,33,55727.96,Out of Stock,4.1,7,Average,2025-03-11,Economy (₹1-2K)
TSI0112,Kitchen Linen Navy,Dining,Kitchen Linen,5326.13,Cream,Cotton Canvas,37,197066.71,In Stock,3.56,10,Average,2024-08-15,Luxury (>₹5K)
TSI0113,Table Cloths Red,Dining,Table Cloths,2705.64,Green,Cotton Cambric,47,127164.98,In Stock,4.44,9,Average,2024-06-20,Mid-Range (₹2-3K)
TSI0114,Table Runners Multi,Dining,Table Runners,1985.44,Blue,Chanderi Silk,12,23825.27,In Stock,4.38,2,Average,2025-07-02,Economy (₹1-2K)
TSI0115,Mats & Napkins Aqua,Dining,Mats & Napkins,3104.48,Emerald,Chanderi Silk,22,68298.61,Out of Stock,4.41,5,Average,2024-03-05,Premium (₹3-5K)
TSI0116,Mats & Napkins Natural,Dining,Mats & Napkins,3144.91,Yellow,100% Cotton,40,125796.46,Out of Stock,3.67,6,Average,2025-02-12,Premium (₹3-5K)
TSI0117,Table Runners Aqua,Dining,Table Runners,2996.4,Black,Cotton Canvas,62,185776.96,In Stock,4.98,14,Bestseller,2025-02-03,Mid-Range (₹2-3K)
TSI0118,Mats & Napkins Red,Dining,Mats & Napkins,885.35,Beige,Cotton Sheeting,112,99158.77,In Stock,4.34,28,Bestseller,2024-10-07,Budget (<₹1K)
TSI0119,Table Runners Emerald,Dining,Table Runners,3341.89,Black,100% Cotton,1,3341.89,In Stock,3.95,1,Slow,2025-05-09,Premium (₹3-5K)
TSI0120,Kitchen Linen Aqua,Dining,Kitchen Linen,2528.16,White,Wool,21,53091.29,In Stock,3.53,3,Average,2024-08-14,Mid-Range (₹2-3K)
TSI0121,Table Runners Emerald,Dining,Table Runners,1320.88,Beige,100% Cotton,22,29059.36,Out of Stock,4.19,5,Average,2024-03-18,Economy (₹1-2K)
TSI0122,Table Runners Emerald,Dining,Table Runners,1190.16,Beige,Chanderi Silk,8,9521.29,In Stock,4.73,1,Slow,2024-04-15,Economy (₹1-2K)
TSI0123,Table Cloths Cream,Dining,Table Cloths,1826.9,Pink,100% Cotton,47,85864.13,In Stock,3.78,4,Average,2025-05-08,Economy (₹1-2K)
TSI0124,Kitchen Linen Black,Dining,Kitchen Linen,1919.63,Beige,Wool,26,49910.37,In Stock,3.7,4,Average,2025-01-12,Economy (₹1-2K)
TSI0125,Table Cloths Indigo,Dining,Table Cloths,2163.6,Beige,Cotton Sheeting,24,51926.29,In Stock,3.65,3,Average,2024-08-31,Mid-Range (₹2-3K)
TSI0126,Table Runners Pink,Dining,Table Runners,1176.62,Green,100% Cotton,11,12942.82,Low Stock,3.9,2,Average,2025-03-20,Economy (₹1-2K)
TSI0127,Table Runners Red,Dining,Table Runners,1939.82,White,Cotton Canvas,34,65953.76,Out of Stock,4.51,3,Average,2024-07-30,Economy (₹1-2K)
TSI0128,Table Cloths Black,Dining,Table Cloths,808.38,Indigo,Cotton Voile,103,83262.85,In Stock,4.76,21,Bestseller,2026-02-01,Budget (<₹1K)
TSI0129,Table Cloths Navy,Dining,Table Cloths,763.6,Natural,100% Cotton,165,125993.92,In Stock,4.46,48,Bestseller,2025-09-13,Budget (<₹1K)
TSI0130,Table Runners Aqua,Dining,Table Runners,623.55,Cream,100% Cotton,3,1870.65,Out of Stock,4.27,1,Slow,2024-02-18,Budget (<₹1K)
TSI0131,Kitchen Linen Red,Dining,Kitchen Linen,3342.05,Navy,Cotton Textured,7,23394.36,Low Stock,4.22,1,Slow,2025-09-29,Premium (₹3-5K)
TSI0132,Table Cloths Navy,Dining,Table Cloths,992.0,White,Wool,21,20831.97,In Stock,3.71,5,Average,2025-02-12,Budget (<₹1K)
TSI0133,Table Cloths Pink,Dining,Table Cloths,1046.35,Cream,Cotton Textured,27,28251.55,In Stock,4.35,4,Average,2024-02-20,Economy (₹1-2K)
TSI0134,Mats & Napkins Pink,Dining,Mats & Napkins,3888.91,Beige,Cotton Cambric,21,81667.01,In Stock,4.75,3,Average,2024-09-05,Premium (₹3-5K)
TSI0135,Kitchen Linen Beige,Dining,Kitchen Linen,1613.12,Black,100% Cotton,145,233901.86,In Stock,4.22,25,Bestseller,2025-04-14,Economy (₹1-2K)
TSI0136,Table Runners White,Dining,Table Runners,3476.4,Navy,Cotton Canvas,12,41716.8,Low Stock,4.32,2,Average,2025-10-26,Premium (₹3-5K)
TSI0137,Kitchen Linen Natural,Dining,Kitchen Linen,2305.57,Red,Cotton Canvas,11,25361.23,In Stock,4.61,2,Average,2025-06-17,Mid-Range (₹2-3K)
TSI0138,Table Cloths Pink,Dining,Table Cloths,5354.19,Indigo,Cotton Canvas,37,198105.02,In Stock,4.35,6,Average,2024-03-29,Luxury (>₹5K)
TSI0139,Table Cloths Natural,Dining,Table Cloths,1211.08,Cream,Cotton Voile,6,7266.5,In Stock,4.18,1,Slow,2025-09-23,Economy (₹1-2K)
TSI0140,Kitchen Linen Indigo,Dining,Kitchen Linen,2263.65,Green,Cotton Voile,29,65645.94,In Stock,4.29,4,Average,2024-09-24,Mid-Range (₹2-3K)
TSI0141,Kitchen Linen Beige,Dining,Kitchen Linen,2917.01,Navy,Cotton Voile,4,11668.04,In Stock,3.57,1,Slow,2025-10-07,Mid-Range (₹2-3K)
TSI0142,Mats & Napkins Emerald,Dining,Mats & Napkins,1856.6,Emerald,100% Cotton,23,42701.73,Low Stock,4.02,4,Average,2025-07-01,Economy (₹1-2K)
TSI0143,Table Runners Multi,Dining,Table Runners,3419.29,Beige,100% Cotton,32,109417.38,Low Stock,3.68,3,Average,2025-01-24,Premium (₹3-5K)
TSI0144,Kitchen Linen Yellow,Dining,Kitchen Linen,7408.0,Navy,100% Cotton,14,103712.0,Out of Stock,3.83,3,Average,2025-09-11,Luxury (>₹5K)
TSI0145,Table Runners Aqua,Dining,Table Runners,3106.71,Natural,Cotton Cambric,121,375912.51,Low Stock,4.93,26,Bestseller,2025-04-05,Premium (₹3-5K)
TSI0146,Table Cloths Multi,Dining,Table Cloths,2231.56,Cream,Cotton Cambric,15,33473.34,In Stock,4.63,4,Average,2024-06-24,Mid-Range (₹2-3K)
TSI0147,Mats & Napkins Cream,Dining,Mats & Napkins,2715.35,Yellow,Cotton Textured,13,35299.52,Low Stock,4.55,3,Average,2025-02-03,Mid-Range (₹2-3K)
TSI0148,Mats & Napkins Green,Dining,Mats & Napkins,1627.02,White,Silk,30,48810.5,In Stock,3.98,5,Average,2024-12-13,Economy (₹1-2K)
TSI0149,Table Cloths Natural,Dining,Table Cloths,2137.06,Cream,Cotton Textured,60,128223.64,In Stock,4.73,13,Bestseller,2025-11-10,Mid-Range (₹2-3K)
TSI0150,Table Runners Indigo,Dining,Table Runners,3354.44,Beige,Wool,9,30189.92,In Stock,4.02,1,Slow,2025-03-14,Premium (₹3-5K)
TSI0151,Table Runners Cream,Dining,Table Runners,2654.37,Beige,Cotton Textured,156,414081.6,In Stock,4.72,43,Bestseller,2025-03-16,Mid-Range (₹2-3K)
TSI0152,Table Cloths Aqua,Dining,Table Cloths,1937.55,Indigo,Cotton Textured,13,25188.15,In Stock,3.87,2,Average,2024-04-26,Economy (₹1-2K)
TSI0153,Kitchen Linen Aqua,Dining,Kitchen Linen,768.88,Indigo,Wool,22,16915.34,In Stock,3.66,2,Average,2025-08-28,Budget (<₹1K)
TSI0154,Mats & Napkins Indigo,Dining,Mats & Napkins,1385.83,Pink,Wool,45,62362.57,In Stock,3.61,11,Average,2025-10-08,Economy (₹1-2K)
TSI0155,Table Cloths Pink,Dining,Table Cloths,3152.62,Blue,Cotton Cambric,19,59899.77,In Stock,3.97,5,Average,2024-07-03,Premium (₹3-5K)
TSI0156,Table Runners Black,Dining,Table Runners,2695.87,Green,Cotton Voile,34,91659.72,In Stock,4.31,6,Average,2024-10-08,Mid-Range (₹2-3K)
TSI0157,Kitchen Linen Navy,Dining,Kitchen Linen,3088.39,Cream,Silk,86,265601.65,In Stock,4.69,18,Bestseller,2025-05-25,Premium (₹3-5K)
TSI0158,Table Cloths Emerald,Dining,Table Cloths,3463.36,Yellow,Cotton Canvas,12,41560.28,In Stock,4.08,2,Average,2024-03-05,Premium (₹3-5K)
